08,INCORRECT,3,0,What is the answer? (d), 
05,INCORRECT,3,0,Pick an answer. (d), 
01,INCORRECT,3,0,Pick an answer. (c), 
07,INCORRECT,3,0,Pick an answer. (a), 
02,INCORRECT,3,0,Pick an answer. (b), 
07,INCORRECT,3,1,"Write a C function called sum(o, p) that sums o and p.", 
04,INCORRECT,3,1,"Write a C function called sum(i, j) that sums i and j.", 
08,INCORRECT,3,1,"Write a C function called sum(q, r) that sums q and r.", 
09,INCORRECT,3,1,"Write a C function called sum(s, t) that sums s and t.", 
05,INCORRECT,3,1,"Write a C function called sum(k, l) that sums k and l.", 
00,INCORRECT,3,2,"Write a Python function called sum(a, b) that sums a and b.", 
06,INCORRECT,3,2,"Write a Python function called sum(m, n) that sums m and n.", 
02,INCORRECT,3,2,"Write a Python function called sum(e, f) that sums e and f.", 
09,INCORRECT,3,2,"Write a Python function called sum(s, t) that sums s and t.", 
03,INCORRECT,3,2,"Write a Python function called sum(g, h) that sums g and h.", 
